ID,Outlet,Funding,State,Community,Website,Features
44.00,100 Days in Appalachia,Nonprofit,Alabama,-,https://www.100daysinappalachia.com/,Rural
"1,960.00",Alabama Reflector,Nonprofit,Alabama,-,https://alabamareflector.com/,
"1,902.02",Pro Publica - South,Nonprofit,Alabama,-,https://www.propublica.org/south,
134.02,Scalawag Magazine,Nonprofit,Alabama,-,https://scalawagmagazine.org/,in solidarity with oppressed communities in the South
"2,189.01",Public News Service - Alabama,Other,Alabama,-,https://www.publicnewsservice.org/state-alabama/AL,Public News Service
197.01,AL.com,Independent,Alabama,-,https://www.al.com/,
"3,170.00",Alabama Daily News,Independent,Alabama,-,https://aldailynews.com/,
"1,789.00",Latino Alabama,Independent,Alabama,-,https://www.latino-news.com/,Latino
"2,732.01",Black Belt News,Independent,Alabama,- (Black belt),https://www.blackbeltnewsnetwork.com/news/,
"2,077.01",Center Square Alabama,Nonprofit,Alabama,--,https://www.thecentersquare.com/Alabama/,taxpayer sensibility
"3,416.01",Baldwin Times,Independent,Alabama,Baldwin County.,https://gulfcoastmedia.com/baldwin-times/#//,
"3,416.00",Gulf Coast Media,Independent,Alabama,Baldwin County.,https://gulfcoastmedia.com/,
764.00,Birmingham Watch,Nonprofit,Alabama,Birmingham,https://birminghamwatch.org/,
"3,298.00",The Sunrise News,Independent,Alabama,Birmingham,https://thesunrisenews.com/,
"2,585.00",Calhoun Journal,Independent,Alabama,Calhoun County,https://calhounjournal.com/,
"2,307.01",The Clayton Record,Independent,Alabama,Clayton,https://claytonrecord.com/,
"2,584.04",Dadeville Record,Independent,Alabama,Dadeville,https://www.tallasseetribune.com/,
"2,732.02",Selma Sun,Independent,Alabama,Dallas County,https://selmasun.com/,
"1,100.00",Decatur Daily,Independent,Alabama,Decatur,https://www.decaturdaily.com/,
"1,963.00",Anniston Star,Independent,Alabama,East Alabama,https://www.annistonstar.com/,
"2,584.02",Tallassee Tribune,Independent,Alabama,Elmore County,https://www.tallasseetribune.com/,
"2,584.03",Wetumpka Herald,Independent,Alabama,Elmore County,https://www.thewetumpkaherald.com/,
"3,416.02",The Courier,Independent,Alabama,"Fairhope, Daphne, Spanish Fort, Malbis",https://gulfcoastmedia.com/the-courier/#//,
"3,416.04",The Onlooker,Independent,Alabama,"Foley, Magnolia Springs, Elberta, Lillian",https://gulfcoastmedia.com/the-onlooker/#//,
"1,643.00",Greene County Democrat,Independent,Alabama,Greene County,https://greenecodemocrat.com/,
"3,416.03",The Islander,Independent,Alabama,Gulf Shores and Orange Beach,https://gulfcoastmedia.com/the-islander/#//,
"2,583.00",The Advertiser-Gleam,Independent,Alabama,Guntersville,https://www.advertisergleam.com/news/,
"1,414.00",Speakin' Out News,Independent,Alabama,Huntsville,https://speakinoutweeklynews.net/,
200.00,Selma Times-Journal,Independent,Alabama,Selma,https://www.selmatimesjournal.com/,
"2,584.01",Alexander City Outlook,Independent,Alabama,Tallapoosa County,https://www.alexcityoutlook.com/site/about.html,
"3,172.00",Tuskegee News,Other,Alabama,Tuskegee,https://www.tuskegeemedia.com/news/local/,
194.00,Alaska Beacon,Nonprofit,Alaska,-,https://alaskabeacon.com/,
"2,354.00",Alaska Native News,Native,Alaska,-,https://alaska-native-news.com/,Native
582.00,Fairbanks Daily News-Miner,Nonprofit,Alaska,-,https://www.newsminer.com/,
186.00,Indian Country Today,Nonprofit,Alaska,-,https://ictnews.org/category/news/,
"2,914.00",The Alaska Current (@thealaskacurrent.com),Nonprofit,Alaska,-,https://thealaskacurrent.com,
"2,189.41",Public News Service - Alaska,Other,Alaska,-,https://www.publicnewsservice.org/state-alaska/AK,Public News Service
"2,915.00",Reporting From Alaska,Independent,Alaska,-,https://www.dermotcole.com/,
"2,077.02",Center Square Alaska,Nonprofit,Alaska,--,https://www.thecentersquare.com/Alaska/,Covers State Govt.
196.00,Sol de Medianoche,Other,Alaska,Anchorage,https://www.soldemedianochenews.org/,
86.00,Anchorage Daily News,Independent,Alaska,Anchorage,https://www.adn.com/,
"2,762.00",The Copper River Record,Independent,Alaska,Copper River Basin,https://www.copperriverrecord.net/,Rural
"3,191.00",Chilkat Valley News,Independent,Alaska,Haines,https://www.chilkatvalleynews.com/,
"2,364.00",Ketchikan Daily News,Independent,Alaska,Ketchikan,https://www.ketchikandailynews.com/news/,
"3,586.00",Nome Nugget,Independent,Alaska,Nome,https://www.nomenugget.com/,Covering Climate Now partner
"2,763.00",The Nome Nugget,Independent,Alaska,Nome,https://www.nomenugget.net,"Alaska's oldest paper, publishing since 1900"
"3,125.00",Sitka Sentinel,Independent,Alaska,Sitka,https://sitkasentinel.com/,
"3,124.00",Wrangell Sentinel,Independent,Alaska,Wrangell,https://www.wrangellsentinel.com/about,Alaska's oldest continuously published newspaper
"2,316.03",Pasquines,Nonprofit,American Samoa,-,https://pasquines.us/,U.S. Territories
"2,580.00",Samoa Daily Sun,Independent,American Samoa,-,https://www.samoadailysun.com/about,
"1,754.00",Samoa News,Independent,American Samoa,-,https://samoanews.com/,
"2,581.00",Samoa Observer,Independent,American Samoa,-,https://www.samoaobserver.ws/,
"1,755.00",Talanei,Independent,American Samoa,-,https://www.talanei.com/,
205.00,Arizona Center for Investigative Reporting,Nonprofit,Arizona,-,https://azcir.org/,Investigative Journalism
207.00,Arizona Luminaria,Nonprofit,Arizona,-,https://azluminaria.org/,Solutions Journalism
208.00,Arizona Mirror,Nonprofit,Arizona,-,https://azmirror.com/,
"2,163.00",Conecta Arizona,Nonprofit,Arizona,-,https://conectaarizona.com/,Spanish / Border and immigration focused
"2,484.00",Cronkite News,Nonprofit,Arizona,-,https://cronkitenews.azpbs.org/,Walter Cronkite School of Journalism / Borderlands / Indigenous
"2,764.00",Lookout,Nonprofit,Arizona,-,https://www.lookoutnews.org/,"Fierce, independent, and queer news"
"1,902.01",Pro Publica - Southwest,Nonprofit,Arizona,-,https://www.propublica.org/southwest,
"1,828.02",Votebeat Arizona,Nonprofit,Arizona,-,https://www.votebeat.org/arizona/,Voting
"2,310.00",Zocalo Public Square,Nonprofit,Arizona,-,https://www.zocalopublicsquare.org/new-at-zocalo/,ASU Media Enterprise
"2,189.02",Public News Service - Arizona,Other,Arizona,-,https://www.publicnewsservice.org/state-arizona/AZ,Public News Service
204.00,Arizona Agenda,Independent,Arizona,-,https://www.arizonaagenda.com/,Worker-Owned
"2,657.00",Arizona Daily Independent,Independent,Arizona,-,https://arizonadailyindependent.com/2024/07/06/evaluating-dei-courses-at-the-university-of-arizona/,
868.00,Arizona Informant,Independent,Arizona,-,https://azinformant.org/,Black-owned
628.00,The Border Chronicle,Independent,Arizona,-,https://www.theborderchronicle.com,US-Mexico Border / Substack
"1,701.00",White Mountain Independent,Independent,Arizona,-,https://www.wmicentral.com/,
206.00,Arizona Daily Star,Large Chain,Arizona,-,https://tucson.com/,
"2,077.03",Center Square Arizona,Nonprofit,Arizona,--,https://www.thecentersquare.com/Arizona/,taxpayer sensibility
"3,742.00",Ajo Copper News,Large Chain,Arizona,Ajo,http://cunews.info/,
209.00,Casa Grande Dispatch,Independent,Arizona,Casa Grande,https://www.pinalcentral.com/casa_grande_dispatch/,
210.00,Herald/Review Media,Large Chain,Arizona,Cochise County,https://www.myheraldreview.com/,
"3,143.00",Lake Powell Buzz,Independent,Arizona,"Coconino County, Arizona",https://lakepowellbuzz.com/,
213.00,Today’s News-Herald,Independent,Arizona,Lake Havasu City,https://www.havasunews.com/,
"3,418.00",Nogales International,Large Chain,Arizona,Nogales,https://www.nogalesinternational.com/,
211.00,Lake Powell Chronicle,Independent,Arizona,Page,https://lakepowellchronicle.com/,
666.00,Patagonia Regional Times,Nonprofit,Arizona,Patagonia,https://patagoniaregionaltimes.org/,Inst. for Nonprofit News (INN) member
"1,665.02",Phoenix New Times,Independent,Arizona,Phoenix,https://www.phoenixnewtimes.com/news/,
"3,037.00",Quechan News,Native,Arizona,Quechan,https://www.quechantribe.com/articles.html,Quechan
"2,499.10",Queen Creek Sun Times,Independent,Arizona,Queen Creek,https://www.citysuntimes.com/news/queencreek/,
"2,017.00",Queen Creek Tribune,Independent,Arizona,Queen Creek,https://www.queencreektribune.com/,
"2,276.00",Northest Valley News,Nonprofit,Arizona,Scottsdale,https://nevalleynews.org/category/news/local-news/,Scottsdale Community College
"2,765.00",The State Press,College-based,Arizona,"Tempe, Phoenix and Mesa",https://www.statepress.com/,Arizona State University
14.00,Tucson Sentinel,Nonprofit,Arizona,Tucson,https://www.TucsonSentinel.com,INN Member
204.01,Tucson Agenda,Independent,Arizona,Tucson,https://www.tucsonagenda.com/,"Journalist-owned,"
"3,304.00",Tucson Spotlight,Independent,Arizona,Tucson,https://www.tucsonspotlight.org/,"English, Some Spanish / community-based journalism, solutions, local ... through the lens of the Hispanic community. / community-based journalism, ... through the lens of Hispanic community."
"2,564.00",Navajo Times,Independent,Arizona,Window Rock,https://navajotimes.com/,Navajo
"2,400.00",Bajo El Sol,Independent,Arizona,Yuma,https://www.yumasun.com/bajo_el_sol/,Spanish
"1,703.00",Beyond Boders Gazette,Independent,Arizona,Yuma,https://beyondbordersnews.com/,
214.00,Yuma Sun,Independent,Arizona,Yuma,https://www.yumasun.com/site/,
201.00,Arkansas Advocate,Nonprofit,Arkansas,-,https://arkansasadvocate.com/,
"2,189.03",Public News Service - Arkansas,Other,Arkansas,-,https://www.publicnewsservice.org/state-arkansas/AR,Public News Service
"1,658.00",Arkansas Times,Independent,Arkansas,-,https://arktimes.com/,
"2,077.04",Center Square Arkansas,Nonprofit,Arkansas,--,https://www.thecentersquare.com/Arkansas/,taxpayer sensibility
"2,037.00",Arkadelphian,Independent,Arkansas,Arkadelphia,https://arkadelphian.com/,
203.00,The Saline Courier,Independent,Arkansas,Benton,https://www.bentoncourier.com/,
202.02,Camden News,Independent,Arkansas,Camden,https://www.camdenarknews.com/,
"2,307.07",Clay County Courier / Times-Democrat,Independent,Arkansas,Clay County,https://www.claycountycourier.com/,Courier / Times-Democrat separate site but both are Cherry Road Media
"3,018.00",Arkansas Traveler,College-based,Arkansas,Fayetteville,https://www.uatrav.com/news/,"University of Arkansas, covers news outside of University"
"2,052.00",Fayetteville Flyer,Independent,Arkansas,Fayetteville,https://fayettevilleflyer.com/,
340.09,Jonesboro Sun,Independent,Arkansas,Jonesboro,https://www.jonesborosun.com/,
202.00,Arkansas Democrat-Gazette,Independent,Arkansas,Little Rock,https://www.arkansasonline.com/,Solutions Journalism
"1,816.00",The Daily Record,Independent,Arkansas,Little Rock,https://www.dailyrecord.us/,
202.01,Banner News,Independent,Arkansas,Magnolia,https://www.magnoliabannernews.com/,
"2,053.00",Magnolia Reporter,Independent,Arkansas,Magnolia,https://www.magnoliareporter.com/,
"2,307.05",Marshall Mountain Wave,Independent,Arkansas,Marshall,https://www.emountainwave.com/,
"2,307.06",Pocahontas Star Herald,Independent,Arkansas,Pocahontas,https://www.starheraldnews.com/,
"1,804.00",Courier News,Independent,Arkansas,Russellville,https://www.couriernews.com/,
340.11,The Daily Citizen,Independent,Arkansas,Searcy,https://www.thedailycitizen.com/,
"1,815.00",Stone County Leader,Independent,Arkansas,Stone County,https://stonecountyleader.com,
"2,417.00",El Dorado News-Times,Independent,Arkansas,Union County,https://www.eldoradonews.com/about/,
"2,198.00",Asam News,Nonprofit,California,-,https://asamnews.com/,Asian American / California Local News Fellowship
767.00,California Health Report,Nonprofit,California,-,https://www.calhealthreport.org/who-we-are/,
115.00,CALmatters,Nonprofit,California,-,https://calmatters.org/,
88.00,Capital & Main,Nonprofit,California,-,https://capitalandmain.com/,
996.00,Capitol Weekly,Nonprofit,California,-,https://capitolweekly.net/,
770.00,Edsource,Nonprofit,California,-,https://edsource.org,Education and learning success
"2,315.03",Streetsblog - CAL,Nonprofit,California,-,https://cal.streetsblog.org/,sustainable transportation
"2,189.04",Public News Service - California,Other,California,-,https://www.publicnewsservice.org/state-california/CA,Public News Service
"2,077.05",Center Square California,Nonprofit,California,--,https://www.thecentersquare.com/California/,taxpayer sensibility
667.00,Alameda Post,Nonprofit,California,Alameda,https://alamedapost.com/,ANNO Member / INN Member
"1,716.00",El Popular,Nonprofit,California,Bakersfield,https://elpopularnews.com/,
674.00,SJV Water,Nonprofit,California,Bakersfield,https://sjvwater.org/,Inst. for Nonprofit News (INN) member
232.00,The Bakersfield Californian,Independent,California,Bakersfield,https://www.bakersfield.com/,
225.00,El Timpano,Nonprofit,California,Bay Area,https://www.eltimpano.org/,Spanish & English / Latino and Mayan
"2,005.00",IndyBay,Nonprofit,California,Bay Area,https://www.indybay.org,democratic collective / Self-published newswire
"2,986.01",The Almanac,Nonprofit,California,Bay Area,https://www.almanacnews.com/about-us/,
"3,071.00",The Jewish News of Northern California,Nonprofit,California,Bay Area,https://jweekly.com/,
"3,581.00",Coyote,Independent,California,Bay Area,https://www.coyotemedia.org/,
"1,409.00",San Francisco Sun Reporter,Independent,California,Bay Area,https://thesunreporter.com/,Black-owned
"1,844.00",The Bay Area Reporter,Independent,California,Bay Area,https://www.ebar.com/,LGBTQ+
668.00,Bay Nature,Nonprofit,California,Berkeley,https://baynature.org/,Inst. for Nonprofit News (INN) member
222.02,Berkeleyside,Nonprofit,California,Berkeley,https://www.berkeleyside.org/,Inst. for Nonprofit News (INN) member
114.00,Local News Matters,Nonprofit,California,Berkeley,https://localnewsmatters.org/,Inst. for Nonprofit News (INN) member
"2,318.00",The Berkeley Scanner,Independent,California,Berkeley,https://www.berkeleyscanner.com/,Public Safety
"2,175.00",Street Spirit,Nonprofit,California,Berkeley/Oakland,https://thestreetspirit.org/,Street Paper
"2,898.00",Beverly Hills Courier,Independent,California,Beverly Hills,https://theievoice.com/category/community/,
"2,404.00","Desert Review, The",Independent,California,Brawley,https://www.thedesertreview.com/,
"2,479.04",Burbank Leader,Independent,California,Burbank,https://outlooknewspapers.com/burbankleader/,
"2,320.00",My Burbank,Independent,California,Burbank,https://myburbank.com/about/,
"2,479.06",Pasadena Outlook,Independent,California,Burbank,https://outlooknewspapers.com/pasadenaoutlook/,
116.00,Coachella Valley Independent,Other,California,Cathedral City,https://cvindependent.com/,
"1,339.00",Central Valley Voice,Independent,California,Central Valley,https://centralvalleyvoice.com/news/,Black-owned / focuses African Americans and Latinos
"3,080.00",Chico News & Review,Independent,California,Chico,https://chico.newsreview.com/,
"2,982.00",Claremont Courier,Nonprofit,California,Claremont,https://claremont-courier.com/,
216.10,Colusa Sun-Herald,Independent,California,Colusa County,https://www.appeal-democrat.com/colusa_sun_herald/,
"2,986.03",Danville San Ramon,Nonprofit,California,Contra Costa County,https://www.danvillesanramon.com/,
"1,347.00",Contra Costa Pulse,Other,California,Contra Costa County,https://ccpulse.org/,Spanish & English / Youth-led
"2,295.00",Richmond Confidential,College-based,California,Contra Costa County,https://richmondconfidential.org/,"Run by UC, Berkeley, Graduate School of Journalism students"
"2,438.00",The Coronado Eagle and Tribune,Independent,California,Coronado,https://www.coronadonewsca.com/,
"3,285.00",The Coronado News,Independent,California,Coronado,https://thecoronadonews.com/,
"1,482.00",Davis Enterprise,Independent,California,Davis,https://www.davisenterprise.com/,
"2,946.00",Downey Patriot,Independent,California,Downey,https://www.thedowneypatriot.com/,
"2,715.00",Sierra Booster,Independent,California,Eastern Sierras,https://www.sierrabooster.com/latest-news,
"2,396.00",Adelante Valle,Independent,California,El Centro,https://www.ivpressonline.com/adelantevalle/,Spanish
"2,403.00",Calexico Chronicle,Independent,California,El Centro,https://calexicochronicle.com/,
"2,396.01",Imperial Valley Press,Independent,California,El Centro,https://www.ivpressonline.com/,
"2,319.00",E’ville Eye Community News,Independent,California,Emeryville,https://evilleeye.com/about-us/,
771.00,Escondido Grapevine,Independent,California,Escondido,https://escondidograpevine.com,
"2,463.00",Eureka Springs Independent,Independent,California,Eureka,http://eureka.news/,
"3,059.14",DN: Fresno,Nonprofit,California,Fresno,https://fresno-ca.documenters.org,Documenting local government
90.00,Fresnoland,Nonprofit,California,Fresno,https://fresnoland.org/latest-news/,Inst. for Nonprofit News (INN) member
234.00,The Fresno Bee,Large Chain,California,Fresno,https://www.fresnobee.com/,
"2,349.00",Fullerton,Independent,California,Fullerton,https://fullertonobserver.com/,
"2,479.02",Glendale News Press,Independent,California,Glendale,https://outlooknewspapers.com/glendalenewspress/,
"2,510.00",Citrus College Clarion,College-based,California,Glendora,https://www.ccclarion.com/,Citrus College and Community
216.20,Glenn County Transcript,Independent,California,Glenn County,https://www.appeal-democrat.com/glenn_county_transcript/,
766.00,BenitoLink,Nonprofit,California,Hollister,https://benitolink.com,
"2,384.00",Access Humboldt,Nonprofit,California,Humboldt County,https://www.accesshumboldt.net/home,
"3,702.00",Redheaded Blackbelt,Independent,California,"Humboldt, Lake, and Mendocino counties",https://kymkemp.com/,
